Algorithm,Params,Validation,Accuracy,Recall,Precision,F1
AdaBoostClassifier,Algorithm:SAMME-n_estimators:10,LeaveOneOut,0.6,0.1,0.1,0.1
AdaBoostClassifier,Algorithm:SAMME.R-n_estimators:10,LeaveOneOut,0.5,0.1,0.1,0.1
Bagging,bootstrap:True-n_estimators:10,LeaveOneOut,0.6,0.1,0.1,0.0
Bagging,bootstrap:False-n_estimators:10,LeaveOneOut,0.5,0.1,0.1,0.1
BernoulliNB,Default,LeaveOneOut,0.3,0.0,0.0,0.0
DecisionTree,criterion:gini-splitter:best,LeaveOneOut,0.4,0.1,0.2,0.1
DecisionTree,criterion:gini-splitter:random,LeaveOneOut,0.6,0.1,0.1,0.0
DecisionTree,criterion:entropy-splitter:best,LeaveOneOut,0.5,0.1,0.1,0.1
DecisionTree,criterion:entropy-splitter:random,LeaveOneOut,0.4,0.1,0.2,0.1
GaussianNB,Default,LeaveOneOut,0.4,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:minkowski-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:auto-metric:euclidean-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:minkowski-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:ball_tree-metric:euclidean-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:minkowski-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:kd_tree-metric:euclidean-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:minkowski-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:uniform,LeaveOneOut,0.3,0.0,0.0,0.0
KNeighborsClassifier,n_neighbors:1-algorithm:brute-metric:euclidean-weights:distance,LeaveOneOut,0.3,0.0,0.0,0.0
